directionId,distanceFromPoint,pointId
8161,1,8012
8162,0,8142
8162,0,8282
8731,0,8111
8162,1,8062
8731,0,8281
8161,1,8102
8731,0,8162
8731,0,8151
8731,1,8081
8161,0,8733
8731,0,8741
8731,0,8041
